titulo,descricao,inscricoes,link,situacao
Chamada Pública nº 033/2025,Programa:PIPA,28/05/2025 à 10/06/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15833-chamada-publica-n-033-2025,Situação:ABERTA
Chamada Pública nº 032/2025,Programa:PIPA,28/05/2025 à 10/06/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15832-chamada-publica-n-032-2025,Situação:ABERTA
Chamada Pública nº 031/2025,Programa:PIPA,22/05/2025 à 03/06/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15822-chamada-publica-n-031-2025,Situação:FECHADA
Chamada Pública nº 030/2025,Programa:PIPA,16/05/2025 à 27/05/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15801-chamada-publica-n-030-2025,Situação:ABERTA
Chamada Pública nº 029/2025,Programa:PROMOB,29/04/2025 à 18/05/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15768-chamada-publica-n-029-2025,Situação:FECHADA
Chamada Pública nº 028/2025,Programa:PROMOB,28/04/2025 à 13/05/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15759-chamada-publica-n-028-2025,Situação:FECHADA
Chamada Pública 027/2025,Programa:PROMOB,23/04/2025 à 07/05/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15749-chamada-publica-027-2025,Situação:FECHADA
Chamada Pública 026/2025,Programa:PROMOB,23/04/2025 à 07/05/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15748-chamada-publica-026-2025,Situação:FECHADA
Chamada Pública 025/2025,Programa:PROMOB,23/04/2025 à 06/05/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15747-chamada-publica-025-2025,Situação:FECHADA
Chamada Pública nº 24/2025,Programa:PROMOB,15/04/2025 à 30/04/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15735-chamada-publica-n-24-2025,Situação:FECHADA
Chamada Pública nº 23/2025,Programa:PROMOB,15/04/2025 à 25/04/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15734-chamada-publica-n-23-2025,Situação:FECHADA
Chamada Pública nº 022/2025,Programa:PROMOB,07/04/2025 à 23/04/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15717-chamada-publica-n-022-2025,Situação:FECHADA
Chamada Pública nº 021/2025,Programa:PROMOB,07/04/2025 à 23/04/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15715-chamada-publica-n-021-2025,Situação:FECHADA
Chamada Pública nº 020/2025,Programa:PROMOB,26/03/2025 à 11/04/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15694-chamada-publica-n-020-2025,Situação:FECHADA
Chamada Pública nº 019/2025,Programa:PROMOB,26/03/2025 à 08/04/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15693-chamada-publica-n-019-2025,Situação:FECHADA
Chamada Pública nº 018/2025,Programa:PROMOB,21/03/2025 à 08/04/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15680-chamada-publica-n-018-2025,Situação:FECHADA
Chamada Pública nº 017/2025,Programa:PROMOB,18/03/2025 à 26/03/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15655-chamada-publica-n-017-2025,Situação:FECHADA
Chamada Pública nº 16/2025,Programa:PROMOB,14/03/2025 à 25/03/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15636-chamada-publica-n-16-2025,Situação:FECHADA
Chamada Pública nº 015/2025,Programa:PROMOB,28/02/2025 à 18/03/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15627-chamada-publica-n-015-2025,Situação:FECHADA
Chamada Pública nº 14/2025,Programa:PROMOB,25/02/2025 à 24/03/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15622-chamada-publica-n-14-2025,Situação:FECHADA
Chamada Pública nº 13/2025,Programa:PROMOB,21/02/2025 à 10/03/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15616-chamada-publica-n-13-2025,Situação:FECHADA
Chamada Pública nº 12/2025,Programa:PROMOB,21/02/2025 à 09/03/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15615-chamada-publica-n-12-2025,Situação:FECHADA
Chamada Pública nº 11/2025,Programa:PROMOB,17/02/2025 à 27/03/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15608-chamada-publica-n-11-2025,Situação:FECHADA
Chamada Pública nº 10/2025,Programa:PROMOB,17/02/2025 à 09/03/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15607-chamada-publica-n-10-2025,Situação:FECHADA
Chamada Pública nº 009/2025,Programa:PROMOB,03/02/2025 à 19/02/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15589-chamada-publica-n-009-2025,Situação:FECHADA
Chamada Pública nº 008/2025,Programa:PROMOB,03/02/2025 à 19/02/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15588-chamada-publica-n-08-2025,Situação:FECHADA
Chamada Pública nº 007/2025,Programa:PROMOB,03/02/2025 à 19/02/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15587-chamada-publica-n-07-2025,Situação:FECHADA
Chamada Pública nº 006/2025,Programa:PROMOB,03/02/2025 à 19/02/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15586-chamada-publica-n-06-2025,Situação:FECHADA
Chamada Pública nº 005/2025,Programa:PROMOB,29/01/2025 à 10/02/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15584-chamada-publica-n-005-2025,Situação:FECHADA
Chamada Pública nº 004/2025,Programa:PROMOB,24/01/2025 à 04/02/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15582-chamada-publica-n-004-2025,Situação:FECHADA
Chamada Pública nº 003/2025,Programa:PROMOB,17/01/2025 à 30/01/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15578-chamada-publica-n-003-2025,Situação:FECHADA
Chamada Pública nº 002/2025,Programa:PROMOB,10/01/2025 à 20/01/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15572-chamada-publica-n-002-2025,Situação:FECHADA
Chamada Pública nº 001/2025,Programa:PROMOB,09/01/2025 à 31/01/2025,https://www.ipea.gov.br/portal/bolsas-de-pesquisa-lista/15571-chamada-publica-n-001-2025,Situação:FECHADA
